CODE_ID	NAME
1083	Andrew Lane
1084	Steven Shainberg
1085	Louis Leterrier
1086	Joe Charbanic
1087	Kat Slater
1088	Christina Peters
1089	Tim Hodge
1090	Phil Alden Robinson
1091	Cecil B. DeMille
1092	Alan Metter
1093	Jonathan Lynn
1094	Clare Peploe
1095	Jeff McGrath
1096	Cathy Malkasian
1097	Jack Nicholson
1098	Mike Binder
1099	David Drury
1100	Jean van de Velde
1101	Henri Young
1102	Juan Gerard
1103	Alan Myerson
1104	Lukas Moodysson
1105	Gavin Scott
1106	Christopher Kulikowski
1107	Joseph L. Mankiewicz
1108	Howard Deutch
1109	Richard Shepard
1110	James Merendino
1111	Kristoffer Tabori
1112	Kevin Allen
1113	Damon Santosstefano
1114	Damon Santostefano
1115	Wilson Yip
1116	Žarko Potočnjak
1117	Henry Crum
1118	Joss Whedon
1119	Joseph Sargent
1120	Pete Docter
1121	Bill Bennett
1122	Jing Wong
1123	Andre Madness
1124	Roger Kumble
1125	Albert Pyun
1126	Art Vitello
1127	Gary Goldman
1128	Don Bluth
1129	Santosh Sivan
1130	Elliot Silverstein
1131	Simon Wells
1132	Kevin Donovan
1133	Kevin Donovan (III)
1134	David O. Russell
1135	Evelyn Purcell
1136	Mike Barker
1137	John Pasquin
1138	Anthony C. Ferrante
1139	Roberto Andò
1140	Jingle Ma
1141	Gilbert M. Shilton
1142	Gilbert Shilton
1143	Tex Avery
1144	Joseph Barbera
1145	Bill Kopp
1146	Richard Attenborough
1147	William Hanna
1148	Jim Abrahams
1149	Joseph Kahn
1150	Karim Dridi
1151	Marc Evans
1152	Dario Argento
1153	Khyentse Norbu
1154	Roger Nygard
1155	Bozidar 'Bota' Nikolic
1156	Alan Rudolph
1157	Wellson Chin
1158	Lauren Lazin
1159	Mark Brown
1160	Fernando Trueba
1161	David Trueba
1162	Marc Lawrence
1163	Marc Lawrence (II)
1164	Costa Gavras
1165	John Huston
1166	Ted Kotcheff
1167	Nevil Dwek
1168	Caleb Lindsay
1169	Mel Brooks
1170	Len Wiseman
1171	Bart Patton
1172	Thomas J. Wright
1173	Jon Avnet
1174	James Bridges
1175	Jamie Blanks
1176	John Webb
1177	John Webb (IV)
1178	Marty Weiss
1179	Stephen Sommers
1180	Maja Weiss
1181	Mike Leigh
1182	Jim Sonzero
1183	Peter Berg
1184	Aleksandr Alov
1185	Vladimir Naumov
1186	Goro Kobayashi
1187	Bruno Barreto
1188	Dennis Dailey
1189	Richard True
1190	Ratiborka Ceramilac
1191	Brett Leonard
1192	Phil Weinstein
1193	Kevin Bray
1194	Richard Dale
1195	Steve Box
1196	Nick Park
1197	Gary Sherman
1198	Byron W. Thompson
1199	Ping He
1200	He Ping
1201	Gary Burns
1202	Penelope Spheeris
1203	Stephen Surjik
1204	Randall Wallace
1205	Joe Russo (II)
1206	Anthony Russo (II)
1207	Joe Russo
1208	Anthony Russo
1209	Niki Caro
1210	Ian Mune
1211	Matt Williams
1212	Matt Williams (II)
1213	Peter M. Cohen
1214	Julian Jarrold
1215	Tim Hill
1216	Peter Kosminsky
1217	Chris Ver Wiel
1218	Jack Perez
1219	Marni Banack
1220	Stanley Jaffe
1221	Stanley R. Jaffe
1222	Armand Mastroianni
